nodes,edges,combinations,id
5,1,25,0
5,2,300,0
5,3,2300,0
5,4,12650,0
5,5,53130,0
5,6,177100,0
5,7,480700,0
5,1,50,1
5,2,1200,1
5,3,18400,1
5,4,202400,1
5,5,1700160,1
5,6,11334400,1
5,7,61529600,1
5,1,50,2
5,2,1100,2
5,3,14100,2
5,4,118050,2
5,5,690010,2
5,6,2958400,2
5,7,9690800,2
5,1,100,3
5,2,4400,3
5,3,112800,3
5,4,1888800,3
5,5,22080320,3
5,6,189337600,3
5,7,1240422400,3
5,1,0,4
5,2,0,4
5,3,0,4
5,4,318880,4
5,5,9156416,4
5,6,120296960,4
5,7,982589440,4
