nodes,edges,combinations
2,1,4
3,1,9
4,1,16
5,1,25
6,1,36
7,1,49
2,2,6
3,2,36
4,2,120
5,2,300
6,2,630
2,3,4
3,3,84
7,2,1176
4,3,560
2,4,1
3,4,126
2,5,0
3,5,126
5,3,2300
2,6,0
4,4,1820
3,6,84
6,3,7140
4,5,4368
4,6,8008
5,4,12650
7,3,18424
6,4,58905
5,5,53130
5,6,177100
7,4,211876
6,5,376992
7,5,1906884
6,6,1947792
7,6,13983816
