nodes,edges,combinations
1,1,1
2,1,2
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
1,2,0
2,2,5
3,2,12
4,2,0
1,3,0
5,2,0
2,3,4
3,3,56
6,2,0
1,4,0
2,4,1
7,2,0
3,4,111
1,5,0
2,5,0
4,3,128
3,5,123
1,6,0
2,6,0
3,6,84
5,3,0
4,4,944
6,3,0
4,5,3264
4,6,7096
5,4,2000
7,3,0
6,4,0
5,5,21104
5,6,109400
7,4,0
6,5,41472
7,5,0
6,6,586752
7,6,1075648
